ID,sleep_hours,inbed_hours,sleep_efficiency,Steps,Distance_miles,Calories_burned,time_sedentary_mins,Day
p1,5.45,5.766666666666667,0.9450867052023122,13162,8.5,1985,728,1
p1,6.4,6.783333333333333,0.9434889434889435,10735,6.96999979019165,1797,776,2
p1,6.866666666666666,7.366666666666666,0.9321266968325792,9762,6.28000020980835,1745,726,4
p1,5.666666666666667,6.116666666666666,0.9264305177111717,12669,8.15999984741211,1863,773,5
p1,11.666666666666666,11.866666666666667,0.9831460674157303,9705,6.48000001907349,1728,539,6
p1,5.066666666666666,5.333333333333333,0.95,15506,9.88000011444092,2035,775,8
p1,6.0,6.283333333333333,0.9549071618037135,10544,6.67999982833862,1786,818,9
p1,5.416666666666667,6.066666666666666,0.8928571428571429,9819,6.34000015258789,1775,838,10
p1,6.016666666666667,6.4,0.9401041666666666,14371,9.03999996185303,1949,732,12
p1,7.166666666666667,7.483333333333333,0.9576837416481069,10039,6.40999984741211,1788,709,13
p1,4.616666666666666,5.383333333333334,0.8575851393188855,15355,9.80000019073486,2013,814,14
p1,4.083333333333333,4.566666666666666,0.8941605839416058,13755,8.78999996185303,1970,833,15
p1,6.1,6.55,0.9312977099236641,13154,8.52999973297119,1898,782,17
p1,5.683333333333334,5.9,0.963276836158192,11181,7.15000009536743,1837,815,18
p1,6.733333333333333,7.083333333333333,0.9505882352941176,14673,9.25,1947,712,19
p1,6.15,6.6,0.9318181818181818,10602,6.80999994277954,1820,730,20
p1,4.616666666666666,5.15,0.8964401294498382,14727,9.71000003814697,2004,798,21
p1,4.55,4.933333333333334,0.9222972972972973,15103,9.65999984741211,1990,816,22
p1,4.116666666666666,4.4,0.9356060606060606,14070,8.89999961853027,1959,857,24
p1,5.566666666666666,6.116666666666666,0.9100817438692098,12159,8.02999973297119,1896,754,25
p1,5.516666666666667,5.816666666666666,0.9484240687679083,11992,7.71000003814697,1821,833,26
p1,9.9,10.183333333333334,0.972176759410802,10060,6.57999992370605,1740,574,27
p1,5.633333333333334,5.7,0.9883040935672515,12022,7.71999979019165,1819,835,28
p1,6.383333333333334,6.716666666666667,0.9503722084367245,12207,7.76999998092651,1859,746,29
p1,4.75,5.1,0.9313725490196079,12770,8.13000011444092,1783,669,30
p2,1.9833333333333334,2.1166666666666667,0.937007874015748,3176,2.30999994277954,2498,1193,18
p2,2.066666666666667,2.3666666666666667,0.8732394366197183,18213,13.2399997711182,3846,816,19
p2,13.266666666666667,16.016666666666666,0.8283038501560874,3758,2.73000001907349,2580,682,21
p2,2.283333333333333,2.566666666666667,0.8896103896103896,6724,4.8899998664856,2987,991,27
p3,10.733333333333333,16.016666666666666,0.6701352757544224,3844,2.53999996185303,1725,527,4
p3,12.033333333333333,16.016666666666666,0.7513007284079084,4014,2.67000007629395,1763,218,19
p3,9.833333333333334,16.016666666666666,0.6139438085327783,2573,1.70000004768372,1541,585,20
p4,12.5,12.916666666666666,0.967741935483871,678,0.469999998807907,2220,734,1
p4,6.633333333333334,7.033333333333333,0.943127962085308,356,0.25,2151,986,2
